'	、
''	〃
,	，
,e	—
,e	–
,na	々
,xf	※
.	。
.,	；
..	‥
..	：
...	…
[	「
]	」
a	對
a,	あ
a,	ぁ
a.	ア
a.	ァ
aa	寸
aa	丶
aado	鎗
aajq	鋪
aaom	鑰
aaqq	錢
aat	鈴
aaxx	鈸
aay	鈐
ab	鎮
abby	銼
abef	鎰
abk	銓
abkd	鎂
abkv	鉼
abor	銳
abqp	銻
ac	鏡
acew	錄
acjo	鋸
aco	銘
acrs	鏢
acw	鏈
ad	會
adb	錕
adem	鍚
adfu	鏝
adg	銲
adk	銀
adkv	良
adn	犬
adnm	錫
ado	倉
ador	創
adp	鉚
adrw	鑤
adto	錡
adub	郎
aduu	朗
ae	金
aee	鈕
aeev	錚
aegu	鍰
aeh	鏽
ael	鈍
aeot	鎘
aer	侴
aeru	鍛
aew	鍵
af	鑑
afdd	鍥
aff	鉅
afk	鈣
afnc	鐲
afsv	鑼
afvd	鏃
afyg	鐸
ag	威
agjy	錘
ago	鉗
agq	鍾
agua	鏘
ah	感
ahf	鍬
ahk	錶
ahp	鉍
ai	俞
ai	兪
aie	釭
aij	鋪
ain	欽
aiq	鈾
aiv	銜
aj	華
ajak	鐵
ajj	針
ajmb	鎮
ajnp	敷
ajnq	甫
ajo	鈷
ajqs	鍊
ajw	求
ajwk	裘
ajwp	救
ak	駐
ake	主
akk	兮
akl	尤
al	龍
al	也
albf	鑣
aldr	鏡
alj	鋅
alnf	鎊
alno	鏑
alok	鑲
aloo	鎬
alq	鐘
alqv	鐮
alru	鍍
alu	鈑
alw	鉉
alx	鉸
am	貪
amb	鋇
amd	鋤
amg	鏤
amj	侖
an	良
ana	釣
anb	鈉
anbe	鋼
anbo	鎔
aneo	銅
anez	錠
ang	銨
ano	鉤
anol	鉋
anr	鈞
ao	點
aob	郃
aoee	翕
aoei	歙
aof	盒
aoh	拿
aojo	錮
aonf	鴿
aoo	合
aoob	僉
aook	鍔
aoop	斂
aoor	劍
aoov	釦
aop	命
aopo	鋁
aotb	頜
aov	鋁
ap	救
apa	釙
apbw	鎚
apd	鉑
apdn	錦
apf	鋒
apmt	鎳
apo	鉻
apxv	鈹
aq	錢
aqaf	盞
aqaq	戔
aqb	戍
aqd	會
aqdr	劊
aqe	鋰
aqgr	臧
aqi	鉀
aqj	戎
aqn	成
aqnf	盛
aqnv	鈇
aqo	鍋
aqo	戓
aqoe	或
aqoh	惑
aqok	戜
aqov	鈿
aqp	戊
aqpg	威
aqph	感
aqphv	慼
aqpo	咸
aqps	戚
aqpz	蹙
aqr	戒
aqrv	划
aqs	鏍
aqv	戌
aqx	戈
ar	創
ara	釩
arb	龔
ard	錯
ari	刌
ariv	釗
arl	凣
aro	鉛
arq	錨
arrr	鑷
aruy	鏗
arv	划
arvf	鑑
as	戚
asi	釧
asmb	鎖
asnq	鐺
asny	鏜
asp	鈔
asq	錙
asr	銑
asrb	鑽
ass	銖
asu	銷
at	術
ata	令
atee	翎
ati	釘
atlv	朮
atnf	鴒
atr	刢
attb	領
atw	述
au	澳
aua	釵
auq	鐳
aur	俞
aurh	愈
aurr	覦
aurw	逾
auv	奧
av	族
ave	錐
avu	鐫
aw	錄
