# 開放蝦米_繁中碼表
#目前收錄字數	6121
# 加入開放蝦米計畫	https://bit.ly/2OcAvu6
name: openxiami_Trad
version: "1"
sort:by_weight
...
、	'	0
〃	''
，	,
–	,e	-6
—	,e	-5
々	,na	0
※	,xf	0
。	.	0
；	.,
‥	..
：	..
…	...
「	[	0
」	]	0
ぁ	a,	-1
あ	a,	0
ァ	a.	-1
ア	a.
丶	aa	-1
寸	aa
鎗	aado
鋪	aajq
鋪	aij	100
鑰	aaom
錢	aaqq
錢	aq	100
鈴	aat
鈸	aaxx
鈐	aay
銼	abby
鎰	abef
銓	abk
鎂	abkd
鉼	abkv
銳	abor
銻	abqp
錄	acew
錄	aw	100
鋸	acjo
銘	aco
鏢	acrs
鏈	acw
錕	adb
鍚	adem
鏝	adfu
銲	adg
銀	adk
良	adkv
良	an	100
犬	adn
錫	adnm
倉	ado
創	ador
創	ar	100
鉚	adp
鑤	adrw
錡	adto
郎	adub
朗	aduu
金	ae
鈕	aee
錚	aeev
鍰	aegu
鏽	aeh
鈍	ael
鎘	aeot
侴	aer	-1
鍛	aeru
鍵	aew
鍥	afdd
鉅	aff
鈣	afk
鐲	afnc
鑼	afsv
鏃	afvd
鐸	afyg
錘	agjy
鉗	ago
鍾	agq
鏘	agua
鍬	ahf
錶	ahk
鉍	ahp
兪	ai	-1
釭	aie
欽	ain
鈾	aiq
鐵	ajak
針	ajj
鎮	ajmb
鎮	ab	100
敷	ajnp
甫	ajnq
甫	ij	100
鈷	ajo
鍊	ajqs
求	ajw
求	na	100
裘	ajwk
救	ajwp
救	ap	100
主	ake
兮	akk
尤	akl
也	al
鑣	albf
鏡	aldr
鏡	ac	100
鋅	alj
鎊	alnf
鏑	alno
鑲	alok
鎬	aloo
鐘	alq
鐮	alqv
鍍	alru
鈑	alu
鉉	alw
鉸	alx
鋇	amb
鋤	amd
鏤	amg
侖	amj
釣	ana
鈉	anb
鋼	anbe
鎔	anbo
銅	aneo
錠	anez
銨	ang
鉤	ano
鉋	anol
鈞	anr
郃	aob
翕	aoee
歙	aoei
盒	aof
拿	aoh
錮	aojo
鴿	aonf
合	aoo
僉	aoob
鍔	aook
斂	aoop
劍	aoor
釦	aoov
命	aop
鋁	aopo
鋁	aov	100
頜	aotb
釙	apa
鎚	apbw
鉑	apd
錦	apdn
鋒	apf
鎳	apmt
鉻	apo
鈹	apxv
盞	aqaf
戔	aqaq
戍	aqb
會	aqd
會	ad	100
劊	aqdr
鋰	aqe
臧	aqgr
鉀	aqi
戎	aqj
成	aqn
成	ay	100
盛	aqnf
鈇	aqnv
戓	aqo
鍋	aqo
或	aqoe
或	he	100
惑	aqoh
戜	aqok
鈿	aqov
戊	aqp
威	aqpg
威	ag	100
感	aqph
感	ah	100
慼	aqphv
咸	aqpo
咸	ko	100
戚	aqps
戚	as	100
蹙	aqpz
戒	aqr
划	aqrv
划	arv	100
鏍	aqs
戌	aqv
戈	aqx
釩	ara
錯	ard
刌	ari	-2
釗	ariv
凣	arl
鉛	aro
錨	arq
鑷	arrr
鏗	aruy
鑑	arvf
鑑	af	100
釧	asi
鎖	asmb
鐺	asnq
鏜	asny
鈔	asp
錙	asq
銑	asr
鑽	asrb
銖	ass
銷	asu
令	ata
翎	atee
釘	ati
朮	atlv
鴒	atnf
刢	atr
領	attb
述	atw
釵	aua
鐳	auq
俞	aur
俞	ai	100
愈	aurh
覦	aurr
逾	aurw
錐	ave
鐫	avu
鎢	awf
鏟	awls
迆	awnv
鑠	awpt
式	axi
鈽	axn
鳶	axnf
貳	axrb
弋	axx
念	ayh
貪	aymb
貪	am	100
含	ayo
頷	ayob
銬	aypk
今	ayy
鑄	ayya
鐃	ayyr
錳	azf
之	azn
之	az	100
鑪	azqf
八	b
不	ba
丷	ba	-1
ば	ba,
バ	ba.
凔	bado
凎	bae	-1
冾	bao
險	baob
冷	bat
冹	bax
陰	bayt
仒	bba	-1
众	bbb	-1
傘	bbbj
脊	bbbu
隘	bbef
隊	bbeq
隊	bq	100
隧	bbew
墜	bbey
墜	by	100
凃	bbh	-3
除	bbh
冸	bbj	-1
俎	bbm
仌	bbn	-2
从	bbn	-3
谷	bbo
谷	wo	100
慾	bboh
欲	bboi
卻	bbop
階	bbpd
階	bd	100
坐	bby
陛	bbyv
冲	bci	-1
陣	bcj
凓	bct	-1
凐	bcy
冱	bde	-1
岔	bde
陽	bdem
陽	bm	100
隄	bdez
盆	bdf
忿	bdh
限	bdk
貧	bdmb
貧	bmv	100
兺	bdof
分	bdp
冽	bdr
頒	bdtb
べ	be,
ベ	be.
尊	bea
猷	bead
遵	beaw
遵	bw	100
益	bebf
益	y	100
凒	bed	-3
奠	bed
鄭	bedb
鄭	bbv	100
丕	bee
亼	bee	-3
仺	bee	-4
凈	bee	-1
普	befd
並	befe
並	be	100
仚	bei
隱	beih
隱	bh	100
冿	bej
凂	bel	-1
陋	benl
陋	blv	100
酋	beo
隔	beot
隔	bt	100
遂	beqw
遂	bwv	100
陘	besi
朔	beu
剪	beud
剪	bdv	100
煎	beuf
前	beur
前	bi	100
塑	beuy
塑	zy	100
凗	bev	-1
逆	bew
慈	bewh
慈	bav	100
兹	beww	-1
歪	bez
盃	bfe
凑	bfn
凝	bfvz
凝	bz	100
凙	bfy	-2
防	bfy
阡	bgj
陲	bgjy
陝	bgn
送	bgnw
舍	bgo
舍	bov	100
舒	bgou
舒	bu	100
羚	bhat
斜	bhd
羯	bhdl
翔	bhee
羊	bhj
羶	bhle
余	bhn
敘	bhp
凊	bhu	-1
途	bhw
び	bi,
ビ	bi.
仝	bie
冮	bie	-1
姿	big
恣	bih
丫	bii	100
丫	yiv
資	bimb
資	bb	100
次	bin
咨	bio
瓷	biw
半	bj
凁	bjcs
凄	bjeg
仐	bjj	-2
阱	bjj
决	bjn	-2
陳	bjqs
凍	bjqsv
凍	bc	100
際	bjrs
凘	bkbk
善	bkbo
善	bv	100
美	bkd
全	bke
全	bk	100
羔	bkf
羹	bkfd
姜	bkg
恙	bkh
義	bki
義	bx	100
羲	bkik
并	bkj
减	bko	-1
羞	bkpe
差	bkpi
差	vi	100
羌	bkr
瓶	bkw
羨	bkwi
羨	biv	100
迸	bkwv
養	bkx
養	kx	100
比	bl
障	bldj
障	bg	100
亾	bll	-1
兦	bll	-2
陪	blo
凜	bloh
凉	blos	-3
凛	blos	-2
阬	blr
叛	blu
隴	blul
阪	bluv
阪	buv	100
禽	blxu
阻	bme
馮	bmf
憑	bmfh
凴	bmfr
人	bn
券	bnd
凕	bndl
豢	bneq
陀	bnf
陷	bng
拳	bnh
眷	bnm
卷	bnp
卷	pl	100
勌	bnpd
甭	bnq
院	bnrr
院	br	100
陶	bnwu
凋	bnyo
ぼ	bo,
ボ	bo.
凅	bojo
隕	bomb
否	boo
兌	bor
兑	bor	-1
冺	box
入	bp
附	bpa
皆	bpd
隍	bpdk
隆	bpes
隆	bs	100
陴	bpqg
降	bps
陂	bpx
曾	bqd
曾	bo	100
弟	bqip
弟	tp	100
剃	bqir
隅	bqnu
兾	bqrb
判	bri
介	briv
介	vr	100
阮	brr
佘	brs	-1
陬	bru
隙	bsds
冼	bsr
会	bta	-2
凇	btbu
陌	btd
首	btm
首	ho	100
導	btma
導	dh	100
導	hwa
導	olav
道	btmw
阿	bto
凚	btw
夔	btzp
ぶ	bu,
ブ	bu.
公	bua
翁	buee
翁	bev	100
冶	buo
兊	bur	-2
頌	butb
准	bve
凖	bvj
為	bwf
